time,open,high,low,close
2025-09-08T13:15:00+05:30,24971.4,24975.7,24923.5,24954
2025-09-08T14:15:00+05:30,24955,24979,24870.9,24891
2025-09-08T15:15:00+05:30,24887,24909,24883.6,24901.1
2025-09-09T09:15:00+05:30,24931.2,24968,24916.1,24921
2025-09-09T10:15:00+05:30,24918.9,24945.9,24910,24937.5
2025-09-09T11:15:00+05:30,24937.5,24955.8,24915,24935
2025-09-09T12:15:00+05:30,24935,24959.3,24927.1,24940.1
2025-09-09T13:15:00+05:30,24945.4,24965,24935,24963
2025-09-09T14:15:00+05:30,24963,24969,24922.7,24948
2025-09-09T15:15:00+05:30,24949.5,24960,24943.1,24960
2025-09-10T09:15:00+05:30,25021.6,25098.9,25001.1,25088.9
2025-09-10T10:15:00+05:30,25089,25125,25080.2,25100
2025-09-10T11:15:00+05:30,25103.8,25104.1,25065,25083
2025-09-10T12:15:00+05:30,25085,25099.8,25055,25055.5
2025-09-10T13:15:00+05:30,25058.4,25079.8,25043,25067.6
2025-09-10T14:15:00+05:30,25063.1,25074.1,25039.8,25072.7
2025-09-10T15:15:00+05:30,25070.9,25084,25069.1,25078.6
2025-09-11T09:15:00+05:30,25049,25103.7,25048.1,25058.7
2025-09-11T10:15:00+05:30,25059.9,25087.8,25059.9,25078.5
2025-09-11T11:15:00+05:30,25085.2,25088.7,25055.9,25076.1
2025-09-11T12:15:00+05:30,25083,25111.8,25079.9,25103
2025-09-11T13:15:00+05:30,25101,25119.5,25088.6,25109.2
2025-09-11T14:15:00+05:30,25109.2,25115,25091.6,25102
2025-09-11T15:15:00+05:30,25105,25110,25100,25108.9
2025-09-12T09:15:00+05:30,25126.3,25170,25126.3,25169.8
2025-09-12T10:15:00+05:30,25168,25195,25157.5,25190
2025-09-12T11:15:00+05:30,25188,25222.8,25185,25208.6
2025-09-12T12:15:00+05:30,25208.6,25213,25194.9,25206.9
2025-09-12T13:15:00+05:30,25210,25220,25191,25215.5
2025-09-12T14:15:00+05:30,25215.2,25216.9,25192,25203.2
2025-09-12T15:15:00+05:30,25205,25212.5,25202.2,25210.1
2025-09-15T09:15:00+05:30,25200.6,25204,25152,25167.8
2025-09-15T10:15:00+05:30,25167.8,25178.9,25147.3,25155.1
2025-09-15T11:15:00+05:30,25154.3,25194.7,25151,25185
2025-09-15T12:15:00+05:30,25185,25192.7,25171,25182
2025-09-15T13:15:00+05:30,25184.5,25193.3,25153.8,25159
2025-09-15T14:15:00+05:30,25159,25184,25152,25161.3
2025-09-15T15:15:00+05:30,25160.3,25171.1,25160.3,25169
2025-09-16T09:15:00+05:30,25178.7,25269,25152,25255
2025-09-16T10:15:00+05:30,25256.8,25266.8,25242,25258.6
2025-09-16T11:15:00+05:30,25260,25275.9,25256.4,25274
2025-09-16T12:15:00+05:30,25274,25299.9,25272,25280.3
2025-09-16T13:15:00+05:30,25284.8,25289.7,25265,25285.2
2025-09-16T14:15:00+05:30,25282.5,25334,25280,25329.3
2025-09-16T15:15:00+05:30,25326.4,25354,25322.2,25348
